input,result3,result2,result1
"[0, 0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 1]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 15]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 5]","[1, 15, 7]","[1, 15, 7]"
"[0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 18, 6]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 4, 6]","[1, 15, 18]","[1, 15, 18]"
"[0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 6]","[15, 17, 13]","[15, 17, 13]"
"[0, 0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 18, 6]","[1, 15, 13]","[1, 15, 13]"
"[5, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[15, 13, 6]","[15, 13, 6]"
"[0, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 4]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 0, 5, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 7]","[1, 15, 17]","[1, 15, 17]"
"[0, 5, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 12, 8]","[13, 15, 16]","[13, 15, 16]"
"[5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 5]","[15, 13, 7]","[15, 13, 7]"
"[0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 15]","[0, 15, 13]","[0, 15, 13]"
