userid,playtime_forever
76561198154458199,494
76561198153334020,72
76561198864273496,14472
76561198252208180,11108
76561198262909205,41035
76561198301643964,12581
76561198858985059,4391
76561198801267524,9007
76561198895892551,581
76561198045256520,66809
76561198372122316,932
76561198176225963,6741
76561198417216710,20971
76561198133674062,9195
76561198260233798,28349
76561198865237317,962
76561198817827769,2118
76561198098214349,21969
76561198445814346,2960
76561198334182122,1273
userid,playtime_forever
76561198131550753,1750
76561198343993148,519
76561198002868815,2652
76561197989778772,4707
76561198178360654,1424
76561198350155133,567
76561198952695583,118
76561198801474520,11348
76561198149813563,13701
76561198134645950,7281
76561198202401470,13798
76561198006456614,15346
76561198080118636,17786
76561198104175527,34441
76561198828794138,1872
76561198399971120,835
76561198817277993,1657
76561198121498521,11675
76561198410126701,32318
76561198363239037,13249
userid,playtime_forever
76561198258099745,303
76561198316489297,15031
76561198162464453,837
76561198839469803,1049
76561198836373363,2120
76561198119604729,21959
76561198216194084,10106
76561198270140349,15496
76561198053273383,15699
76561198168245206,43667
76561198131653141,7774
76561198402826359,42
76561198179445742,2839
76561198099810204,309
76561197967755786,925
76561198355882947,10241
76561198173234081,27083
76561198358376183,550
76561198077222962,1022
76561198156873737,27736
userid,playtime_forever
76561198203586155,12330
76561198029363184,54061
76561198347897927,142
76561198799152667,27060
76561198132318702,12619
76561198416253790,5214
76561198321937108,8283
76561198155468983,8671
76561198145398596,2465
76561198162231934,359
76561198446373166,166
76561198795854082,7266
76561198376367012,482
76561198210940368,7769
76561198313220500,14238
76561198032472860,498
76561198247323260,9133
76561198249839006,19606
76561198145997313,88202
76561198374616226,9048
userid,playtime_forever
76561198052385048,14761
76561198072028785,20504
76561198098734123,66756
76561198126912064,11695
76561198193194010,2680
76561198120692066,8131
76561198295625868,16715
76561198357260153,5328
76561198445791194,1533
76561198219643235,1784
76561198130636092,720
76561198161102532,5678
76561198209918703,5654
76561198870289514,19190
76561198148652881,829
76561198283723898,3192
76561198178942191,62744
76561198208431353,117683
76561198077262947,83870
76561198150900979,1782
userid,playtime_forever
76561198208523475,2682
76561198850679183,11150
76561198320921099,486
76561198799703559,4400
76561198137932942,30272
76561198025541494,10327
76561198370429560,42853
76561198108144359,272
76561198152389639,12184
76561197989966033,208
76561198276736359,6201
76561197965487969,87
76561198107639116,42063
76561198117768043,25613
76561198223286132,1013
76561198120721672,19706
76561198283314672,290
76561198037341265,80270
76561198170354145,3004
76561198035726227,618
userid,playtime_forever
76561198418826747,3584
76561198262870846,24681
76561197995103450,45
76561198069272257,11297
76561198021698620,5514
76561198021550423,2046
76561198073275549,251
76561198286374131,6358
76561198193705366,3198
76561198197304057,2461
76561198258342311,6409
76561198131318298,16799
76561198064477681,52352
76561198201235053,61151
76561198124636658,71402
76561198248287750,2383
76561198195172559,4992
76561198885371974,300
76561198399624935,4827
76561198845872783,14628
userid,playtime_forever
76561198880431499,22605
76561198412052245,1606
76561198140865428,8081
76561198140837352,12678
76561198041226438,28568
76561198112847046,6163
76561198870807125,2078
76561198202405166,29964
76561198063752282,10963
76561198362036998,4198
76561198840404388,10789
76561198891828693,12968
76561198073539185,9672
76561198202243549,4800
76561198116927463,37820
76561197991483519,211
76561198451067899,11520
76561198829101121,3583
76561198804110912,1138
76561198277139668,117197
userid,playtime_forever
76561198064272329,24585
76561198882140011,7674
76561198253033645,10
76561198343889526,989
76561198119293251,13906
76561198402914965,9
76561198146704804,3503
76561198035058739,44091
76561198271829366,7191
76561198140028600,6355
76561198303969963,3223
76561197992467280,13402
76561197999808693,37626
76561198013413890,36630
76561198049892475,86
76561198017868005,19459
76561198451864979,37478
76561197996000877,78334
76561198052385488,11873
76561198866823348,1347
userid,playtime_forever
76561198171329437,129122
76561198026518628,88565
76561198853382052,5250
76561198088369657,3722
76561198815365487,1768
76561198197577929,4302
76561198203202606,50766
76561198824662263,13119
76561198372482719,300
76561198211897571,205224
76561197991650640,122
76561198928641040,868
76561198253673174,1455
76561198029237691,6841
76561198146786581,3698
76561198187289575,2790
76561198146400713,24110
76561198078373006,37120
76561198172113357,1590
76561198799105815,1347
userid,playtime_forever
76561198120528423,14011
76561198821717776,7860
76561198148238632,4593
76561198274034678,1043
76561198027799574,4249
76561198852281162,66340
76561198120755258,3166
76561198851562076,2442
76561198436699910,2372
76561198088013546,3808
76561198129717958,10420
76561198103704517,110187
76561198021040078,9014
76561198075738409,10303
76561198156040165,34530
76561198154083093,4044
76561198133272179,20878
76561198229621360,7778
76561198070409993,10977
76561198118550714,12556
userid,playtime_forever
76561198089314904,1291
76561198084156693,54526
76561198054734971,629
76561198123473830,1776
76561198206691363,285
76561198861814887,2584
76561198837641878,19621
76561198126258450,9127
76561198386398155,4217
76561198077969298,3996
76561198122035721,13023
76561198050682215,47309
76561198254183346,7108
76561198108057147,1804
76561198077706018,20701
76561198121844830,5531
76561198122036861,56202
76561198396957547,15650
76561198050155289,70970
76561198086060003,8167
userid,playtime_forever
76561198135015084,1252
76561198355054712,1798
76561198049717636,7576
76561198132894965,38179
76561198889837355,415
76561198296651420,16187
76561198179619537,27552
76561198850838303,564
76561198241196280,809
76561198280311345,6290
76561197989648509,62996
76561198170435241,9286
76561198145860619,43015
76561198148812768,15650
76561198401744700,4734
76561198835361943,826
76561198402662606,20916
76561198182040355,53364
76561198093780394,2380
76561198055034349,18613
userid,playtime_forever
76561198067597647,38722
76561198352342474,9829
76561198242365254,2879
76561198089729386,70333
76561198799652779,22146
76561198278592784,25504
76561198355892399,722
76561198322550553,13678
76561198818107334,115
76561198105708458,11236
76561198089847935,25353
76561198020553677,35345
76561198346472748,19855
76561198286183465,4156
76561198045958688,53625
76561198152829186,2277
76561198063664586,5057
76561198181143029,22969
76561198035596908,1937
76561197996611160,104935
userid,playtime_forever
76561198069200996,58312
76561198109758197,7916
76561198303654857,1159
76561198254838955,943
76561198078644974,29424
76561198088268839,40539
76561198202565115,1354
76561198318078311,6356
76561198175466673,14785
76561198125211300,18205
76561198028162378,96410
76561198032815398,23530
76561198186398159,30131
76561198071374261,11920
76561198126032047,3061
76561198106333315,1012
76561198796643021,1118
76561198043871944,192
76561198432376211,5433
76561198135588451,5877
userid,playtime_forever
76561198299105343,852
76561198135359031,28936
76561198077309585,6349
76561198441543128,19491
76561198170037282,6752
76561197984585395,3291
76561197999410371,4516
76561198102382629,2101
76561198365706197,322
76561198895106276,3962
76561198044492109,15918
76561198170345871,1831
76561198165310535,2962
76561198872136795,1008
76561198203216099,18120
76561198091176922,9164
76561198402828343,561
76561198060991777,14310
76561198053290859,12740
76561198134070946,9959
userid,playtime_forever
76561198010393426,2883
76561198009848382,185
76561198192279166,232
76561198452785815,712
76561198196868466,1363
76561198253963303,16380
76561197999955699,135103
76561198194371829,5765
76561198090450036,12954
76561198400963546,40751
76561198098754838,14924
76561197981207646,129
76561198281418469,1575
76561198021538855,33148
76561198146977726,3449
76561198205005175,446
76561198144356523,15383
76561198185549111,1833
76561198051317669,38533
76561198200378103,7334
userid,playtime_forever
76561198100182541,23189
76561198119693338,3697
76561198843326613,41
76561198119487465,3288
76561198075616058,59713
76561198095950151,126756
76561198263658395,1643
76561198882302708,7
76561198136995796,2653
76561198278660698,633
76561198844951788,1729
76561198152414119,23107
76561198276814931,7332
76561198010665934,1138
76561198412928095,349
76561198202139988,6685
76561198125476898,153
76561198067860283,41200
76561198428356422,369
76561198136087263,10380
userid,playtime_forever
76561198088904370,21888
76561198135035563,19874
76561198070234306,29237
76561198390674873,5072
76561198271358624,72
76561198109095119,149903
76561198191305154,224
76561198323185803,1112
76561198795414885,9419
76561198147408156,5352
76561198202767869,28433
76561198394131757,5297
76561198327794861,15507
76561198154058204,111526
76561198212339837,706
76561198818869457,3066
76561197965074601,13300
76561198049201040,9269
76561198080353387,64176
76561198340281878,365
userid,playtime_forever
76561198236264630,25407
76561198089529759,6249
76561198023675707,24847
76561198157630554,2635
76561198260725341,627
76561198342697283,46203
76561198833959765,828
76561198823936650,1338
76561198055486444,22056
76561198149565707,12784
76561198165831849,4229
76561198445910694,871
76561198064112247,77570
76561198068250619,11440
76561198163260094,9797
76561198170213671,1656
76561198331453977,448
76561198001684533,10783
76561198089314148,3000
76561198209738227,792
userid,playtime_forever
76561198070304035,1545
76561198082764480,4355
76561198276695631,1789
76561198878656131,8582
76561198294951203,2837
76561198011722709,24384
76561198010745768,27286
76561198025257368,477
76561198074591423,7855
76561198034937488,47976
76561198213466316,202043
76561198123910837,4724
76561198271960467,28
76561198318037544,19196
76561198187717018,2777
76561198018764790,14309
76561198191745785,23741
76561198404271715,10903
76561198047310104,7412
76561198122999901,7770
userid,playtime_forever
76561198095383564,322
76561198403533587,1831
76561198361191622,2810
76561198083572422,3062
76561198069038878,36398
76561198203258166,1164
76561197987868166,39967
76561198005915522,256
76561198207415683,44517
76561198045160555,110019
76561198118693468,9377
76561198052353402,238
76561198281012849,786
76561198010540358,33050
76561198338557865,7325
76561198931254161,36
76561198031961246,9740
76561198342314634,639
76561198380332988,650
76561197983550115,4376
userid,playtime_forever
76561198055473859,45346
76561198429124906,7413
76561198044344226,130568
76561198159816798,20096
76561198340839925,3535
76561198883918863,1019
76561197968396627,1394
76561198360177361,3358
76561198143175913,20
76561198159725663,1139
76561198154643150,25847
76561198042725879,11449
76561198449804734,2388
76561198388110612,3917
76561198364647736,1262
