userid,playtime_forever
76561198095059841,1293
76561198057473202,4627
76561198071895964,4419
76561197994674788,379
76561198085422378,1788
76561198202888559,138
76561198288711985,3646
76561198013844167,3457
76561198008299079,1783
76561198133569450,1424
76561198009987941,1284
76561198205710104,2955
userid,playtime_forever
76561198120452267,3922
76561198049688942,1805
76561198027484695,2160
76561198132477257,866
76561197972680831,4617
76561197971589486,159
76561198202538498,2391
76561198359384312,5834
76561197977633374,5362
76561198119264635,2520
76561197992528570,3424
76561198012383072,99
76561198010936698,5320
76561198043028796,5308
76561198046032821,4046
76561198116811072,597
76561198090724781,1832
76561198149595824,5928
76561198387130963,4555
76561198896893883,4729
userid,playtime_forever
76561198042495967,5540
76561197989930228,1237
76561198107553560,822
76561197984508501,435
76561198081834342,4374
76561198307412527,2157
76561197961522010,7090
76561198164062413,1092
76561198864537296,1660
76561198160534137,274
76561198315725593,3127
76561198364740700,3440
76561198268917408,4028
76561198321645242,2656
76561198170992770,133
76561198222862640,47
76561198093633698,8080
76561197982905604,3286
76561198871374985,1997
76561197987200735,6285
userid,playtime_forever
76561198178434675,3747
76561198067682970,1971
76561198091983126,4301
76561198055378816,53
76561198837506285,15199
76561198044222828,6589
76561198093969540,3931
76561198081117367,2888
76561198445999731,1111
76561198032225238,5996
76561198092266239,2336
76561198043871683,1355
76561198307687025,4392
76561197996838630,2492
76561198128779147,2948
76561198057197099,4044
76561198203055658,1659
76561198059042233,1524
76561198014740139,1784
76561197971509261,3067
userid,playtime_forever
76561198255169108,2548
76561197990076642,2828
76561198092102892,2380
76561198167109964,3723
76561198095297326,5870
76561197978676487,1747
76561198022442093,1763
76561198051323859,3042
76561198088559496,1954
76561198071238741,1145
76561198308930442,7144
76561198006299829,3638
76561198090365478,1369
76561198119720641,406
76561198451906648,2158
76561198064969045,442
76561198049869971,2068
76561198800122584,2792
76561198138590363,1460
76561198841705889,2649
userid,playtime_forever
76561198057522119,5842
76561198175935194,3439
76561198277803517,2704
76561198030396073,1331
76561198006305506,3659
76561198054724904,727
76561198041289981,3968
76561198168390943,1496
76561198041090308,1548
76561198042617067,6141
76561198305963150,2349
76561198034153661,867
76561198144615904,2113
76561198027958747,1548
76561198044175083,3545
76561197964775639,22
76561198073355386,8802
76561198129819534,2555
76561198241116712,1150
76561197971433727,3534
userid,playtime_forever
76561198038826465,349
76561198870122311,2969
76561198132145961,4045
76561198029191773,2740
76561198409126341,3591
76561198008851966,87
76561197998587080,3360
76561198039363975,1543
76561198108910000,2080
76561198065628217,4812
76561198120594538,3122
76561198044073402,4644
76561198351706642,4704
76561198169276171,492
76561198163372579,4768
76561198029574347,576
76561198070214312,2144
76561198144196609,2371
76561198005845279,5401
76561197997709431,670
userid,playtime_forever
76561198074537639,2890
76561198079437776,1943
