userid,playtime_forever
76561198129141342,526
76561198092130083,334
76561198363166757,168841
76561198151598896,24469
76561198139683548,102407
76561198113849804,183495
76561198113977353,222185
76561198084911213,40
76561198134634277,79607
76561197963084528,143694
76561198208907052,45598
76561198144336641,43552
76561198324254640,102689
76561198234901432,51338
76561197999579272,5941
76561197997161929,131943
76561198339582209,225826
76561198356658442,40849
76561198074135144,108968
76561198122909224,196894
userid,playtime_forever
76561198245924328,169308
76561197997708311,74038
76561198274532302,15355
76561198061510873,243338
76561198038746049,1342
76561198313959592,184353
76561198090877293,124708
76561198042700516,204716
76561198052850488,174787
76561198256764758,188650
76561198272621753,362496
76561198343292767,101215
76561198235307788,279397
76561198120573453,177028
76561198256820907,107773
76561197972253308,261599
76561198296443744,53344
76561198147747536,368476
76561198290073563,267974
76561198097554291,67067
userid,playtime_forever
76561198146111057,123434
76561198339354910,23626
76561198299650974,67820
76561198303054244,180345
76561198259454193,145935
76561198324068569,121193
76561198120882705,227668
76561198021844334,129786
76561198337198816,28813
76561198367044039,25682
76561198176757493,79957
76561198147526213,106858
76561198036003177,285444
76561198259668369,134084
76561198116921887,222065
76561198335604055,256359
76561198083744008,145201
76561198161474545,172595
76561198121946785,199793
76561198358987932,128907
userid,playtime_forever
76561198151176518,317413
76561198070349116,284867
76561198091651408,137425
76561198364022943,94627
76561198163114645,88264
76561198288038873,128415
76561198284925487,86886
76561198225968164,146328
76561198332645091,92885
76561198319062845,58064
76561198089732641,78799
76561198159389830,357135
76561198269372446,42132
76561198177726889,15596
76561198042479845,162383
76561198135398181,157041
76561198100293510,62925
76561198253121213,137630
76561198128162678,209094
76561198077853527,119893
userid,playtime_forever
76561198174846546,459304
76561198050110808,72873
76561198316988513,155467
76561198097067658,79509
76561198137944480,16619
76561198056851749,318418
76561198254662318,258281
76561198177399742,134810
76561198059381335,228275
76561198173627249,231367
76561197975687665,250488
76561198148908311,124634
76561198072022325,396532
76561198231450336,127926
76561198201478061,267504
76561198343803648,130622
76561198289914799,222456
76561198329040820,72001
76561197979147346,436345
76561198108475957,231540
userid,playtime_forever
76561197961154798,328414
76561198363946508,133
76561198308985049,105235
76561198218242409,174
76561198104284549,287108
76561198350772166,237753
76561198042058547,22406
76561198173262229,6712
76561198347799798,182999
76561198221575492,31700
76561198010888932,169038
76561198138616446,111617
76561198247669078,186456
76561198058942004,86790
