userid,playtime_forever
76561198154894025,5316
76561198879854174,9628
76561198165834989,6892
76561198026758650,7397
76561198042021514,19251
76561198212418191,4781
76561198127792430,3232
76561198196311543,5829
76561198152017053,8056
76561198954183810,2782
76561198094536294,1277
76561198181428074,7482
76561198139473191,5849
76561198206561195,19460
76561198327159976,4713
76561198085930310,4610
76561198362184832,2150
76561198238585446,4198
76561198128059901,3337
76561198233242096,511
userid,playtime_forever
76561198143965968,19
76561198163211567,3802
76561198120810291,139
76561198313343739,21972
76561198843563906,9894
76561198084091173,14693
76561198315453444,7507
76561198102240363,2778
76561198121188070,1875
76561198883007696,111
76561198042916676,14477
76561198165582439,1726
76561198051867376,8350
76561197987988240,4295
76561198042842327,3697
76561198218474471,2871
76561198287311221,8481
76561198033706500,48
76561198307580816,14774
76561198143952966,3504
userid,playtime_forever
76561197993300656,2536
76561198072465285,2780
76561198058991718,706
76561198075930530,9230
76561198051464046,15206
76561198355085064,4864
76561198436191521,6043
76561198129049038,3106
76561198038186657,7368
76561198139558432,357
76561197971118056,2950
76561198256342236,6044
76561198061054401,11939
76561198314842782,3624
76561198192206577,14181
76561198214850735,477
76561198452666590,1072
76561198012330764,5345
76561198185105733,9381
76561198343947871,7628
userid,playtime_forever
76561198386212103,439
76561198414131436,9856
76561198129566406,7342
76561198352379357,6129
76561198156488890,1511
76561197968994015,57
76561198318248048,2094
76561198051782309,6270
76561198085571974,8569
76561198001764628,22434
76561198127633823,12202
76561198105633185,3579
76561198224879320,11436
76561198161615957,12622
76561198089545789,10621
76561198119746740,5968
76561198046544239,11152
76561198021027681,361
76561198189471282,6596
76561198064043694,224
userid,playtime_forever
76561198274663853,2665
76561198260275391,11392
76561198181826958,7435
76561198274707942,3681
76561198257360445,566
76561198114587894,5057
76561198156903582,893
76561198334362449,526
76561198047260322,6809
76561198158685733,61
76561198108466761,2404
76561198195090342,4953
76561198148321621,454
76561198021488860,36668
76561198106118346,3091
76561198269463049,6939
76561198200811717,7333
76561198089111670,1682
76561198798616880,7215
76561198857928958,8681
userid,playtime_forever
76561198798616880,7215
76561198857928958,8681
76561198884954498,1810
76561198315220617,2501
76561198112020555,293
76561197972312448,28925
76561198376494934,599
76561198211538263,4188
76561198399725573,6968
76561198119270180,8155
76561198799126701,18249
76561198110201818,7760
76561198275589525,4293
76561198118987200,3919
76561198058106517,1816
76561198252648744,3595
76561198368710108,321
76561198042107808,6746
76561198215364957,853
76561198203334665,10642
userid,playtime_forever
76561197983638211,9006
76561198049345033,9826
76561198247807654,4641
76561198130048305,20412
76561198153341544,2393
76561198379235383,1491
76561198066514935,5605
76561198884150410,4010
76561198168799904,5678
76561198054432222,12072
76561198166862073,3202
76561198193019003,5918
76561198332056386,2069
76561198013036550,16842
76561198048028185,36309
76561198337875297,3707
76561198432661838,8232
76561198150815823,4742
76561198128758722,7961
76561198144906860,2956
userid,playtime_forever
76561198866765182,2803
76561198799042151,12328
76561198035935303,3941
76561198148346577,8905
76561198319980087,25297
76561198072164094,49301
76561198074881537,5943
76561198076579810,1868
76561198402046176,178
76561198218587173,1254
76561198104723209,2032
76561198233736852,574
76561198316319279,7178
76561198354473465,7101
76561198383068441,727
76561198846355535,39
76561198193664879,12691
76561197992602917,364
76561198210453812,1067
76561198380489742,1553
userid,playtime_forever
76561198386845601,2783
76561198055294482,7119
76561198072302150,437
76561198072910828,2444
76561198119619297,1208
76561198067994799,459
76561198024967136,691
76561198134349667,176
76561198353142322,2262
76561198845297488,1402
76561198101666401,17592
76561198129962523,319
76561198224392584,3481
76561198095564007,2404
76561198101622190,29933
76561198098023251,5282
76561198124528660,42
76561198135249064,813
76561198150987901,2581
76561198396295551,3357
userid,playtime_forever
76561198844835156,1164
76561198023662825,21473
76561198069797661,6748
76561198377542085,108
76561198219904233,486
76561198849582534,4601
76561198198332139,2939
76561198140740709,11608
76561198061201462,66
76561197996511692,8850
76561198053191862,9556
76561198840645201,74
76561198121539849,2559
76561198073825013,3009
76561198056282314,13635
76561198353575029,718
76561198341856130,4504
76561198076294830,11705
76561198131550753,1340
76561198145958817,1891
userid,playtime_forever
76561198378005200,2239
76561198451445337,5269
76561198181500357,71
76561197979727889,15484
76561197991135368,3960
76561198114164969,10283
76561198202221834,6759
76561198065457453,34600
76561198036812480,2801
76561198006992688,4501
76561198103429607,7416
76561198124039108,9181
76561198121892767,1925
76561198127663215,5106
76561198869883423,311
76561198399225870,1735
76561198353585201,2325
76561198387537344,101
76561198004094580,1084
76561197986572155,1380
userid,playtime_forever
76561197960902049,12831
76561198447558300,1545
76561198832870107,1575
76561198253874084,472
76561198090196420,11032
76561198100351333,2408
76561198207339027,520
76561198086162595,2460
76561198274435968,1581
76561198352832357,1654
76561198953860291,222
76561198081125807,42
76561198118634497,14300
76561198039180895,1552
