userid,playtime_forever
76561198310540287,379
76561198347915247,73
76561198830437184,4171
76561198033565996,8125
76561198060411121,751
76561198099666724,1000
76561198297833866,251
76561197969778674,1504
76561197992144324,3875
76561198111160668,1245
76561198324811462,3098
76561197997127119,3155
76561198135935745,1035
76561198116014924,4371
76561198044527426,2025
76561198182908614,15601
76561198119619215,619
76561198199772277,1137
76561198339846357,4234
76561198276999802,9856
userid,playtime_forever
76561198089039516,2681
76561198001993627,1840
76561197996024293,2049
76561198026863514,1429
76561198834945290,1034
76561198298270203,718
76561198429415563,3823
76561198027961805,2346
76561198095971377,2050
76561198835588358,9029
76561198083890594,1882
76561198052554580,9789
76561198100002619,2501
76561198176330215,600
76561198380230135,709
76561198337509714,3569
76561198286374131,2257
76561198192594538,1217
76561198054904291,997
76561197990332546,2594
userid,playtime_forever
76561198050151681,3732
76561198103358395,499
76561198307897374,416
76561198104326330,666
76561198264067097,2303
76561198253425924,4719
76561198359327514,2062
76561198289259829,4221
76561198118745759,367
76561198052635370,1964
76561198099093574,5187
76561198451557201,5456
76561198269556303,943
76561198197639029,2807
76561198046741442,3991
76561198080152550,2611
76561197968514473,12836
76561198056458247,3184
76561198082042138,2176
76561198096747533,13730
userid,playtime_forever
76561197961521733,2764
76561198031166125,2863
76561198008777268,2104
76561198366259750,1076
76561197960339937,1442
76561198037804156,9632
76561197970628758,4661
76561198442952493,1677
76561197981640564,10307
76561198203283539,2755
76561198293996291,991
76561198396957547,707
76561198016692639,8346
76561197981104100,12426
76561198144496740,350
76561198161696496,781
76561198255931443,11406
76561198201336033,857
76561198133282265,3036
76561198324966096,621
userid,playtime_forever
76561198366843924,429
76561198042915129,771
76561198372608733,1189
76561198040884500,5374
76561198115468586,3490
76561198894992302,16970
76561198062506049,2559
76561198017893695,1144
76561198143517535,2746
76561198301357620,1246
76561197971314809,9750
76561198095182530,1318
76561198109781951,39
76561198860650620,13178
76561198044915475,3963
76561198004398992,81
76561198040031551,1310
76561198011679545,1012
76561198796587422,10422
76561198001519881,2369
userid,playtime_forever
76561197978604096,2798
76561198219546993,2214
76561198180882865,4751
76561198044217926,1379
76561198043572518,102
76561198039059857,9321
76561198370634497,4396
76561197975475029,360
76561198818214882,491
76561198045597182,12515
76561198019093911,512
76561198721987254,6727
76561198031803227,2315
76561198026472445,6633
76561197962660651,1257
76561198184206575,6990
76561198058647800,1785
76561198175664563,5753
76561198927442531,246
76561198061869122,865
userid,playtime_forever
76561198152241211,4763
76561198167508706,3246
76561197996329450,1995
76561198045326782,1268
76561198074909118,284
76561198075087137,4975
76561198071454147,287
