userid,playtime_forever
76561198093520091,31978
76561197970563169,18701
76561198337817593,1259
76561198221921436,7034
76561198816903864,3901
76561198837810324,34173
76561198042215775,87
76561198014190640,6574
76561198803051521,727
76561198928187384,383
76561198133738534,32517
76561197972335551,13778
76561198292282051,276
76561198219546993,2346
76561197961431527,956
76561197964369134,28064
76561198893718992,5848
76561198345662774,3873
76561197968369788,13369
76561198192235197,15784
userid,playtime_forever
76561198255316323,2003
76561198067637795,105
76561198085846542,1067
76561198003977147,5417
76561198130626621,9711
76561198796668537,3437
76561198001764628,44564
76561198867906322,6420
76561198091578196,1904
76561198013329487,13914
76561198257625338,17987
76561198212286360,33216
76561198870923469,1612
76561198195170881,29381
76561198039009439,12526
76561198138803230,6097
76561198125114953,5887
76561197974941310,6381
76561198114235372,4326
76561198319186124,60019
userid,playtime_forever
76561198087385098,37367
76561198956540060,48
76561198018384052,15108
76561198288449074,3504
76561198022560855,127092
76561198262889968,2603
76561198023687001,31841
76561198154514110,9443
76561198323368002,18794
76561198386295988,1055
76561197970640741,205415
76561198876915124,747
76561198416645133,17262
76561198163451578,22412
76561198087647921,4050
76561198060372432,35128
76561198185505637,2385
76561198322777280,16067
76561197976705502,58308
76561197968985521,18908
userid,playtime_forever
76561198008010902,3610
76561197997790299,14123
76561198129265482,23334
76561198161923273,15619
76561198062142896,19288
76561198029423877,28972
76561198084080857,14988
76561198396487485,15287
76561198164512627,44091
76561198112818222,6259
76561198359397852,1661
76561198129566406,4977
76561198077090936,20201
76561198196762709,1873
76561198359478338,3675
76561198410791836,4145
76561198210582688,680
76561198877326708,3016
76561198086982993,6429
76561198101622190,9598
userid,playtime_forever
76561198039925664,14588
76561198880530783,1291
76561198036274584,380
76561198273950430,40781
76561198204742124,9490
76561198214393927,18005
76561198797878795,7469
76561198206460351,22793
76561198170825434,5824
76561198084942534,1457
76561198105819938,39530
76561198035826989,48475
76561198097678957,41931
76561198202221834,13434
76561198254523822,12990
76561197972733652,7102
76561198368779544,7483
76561198048878054,63
76561198087794419,19120
76561198014175162,855
userid,playtime_forever
76561198014175162,855
