userid,playtime_forever
76561198268990715,1133
76561197996867024,3344
76561198043394721,4056
76561198361070904,15979
76561197987070151,5153
76561198152161819,1376
76561198381088681,659
76561198417183291,1450
76561198423915908,1019
76561198220303063,8119
76561198015060917,1289
76561198799042151,1350
76561198362921246,351
76561198035883008,4389
76561198212505048,18588
76561198075673081,4869
76561198164844468,27332
76561198043451446,3204
76561198106046813,5023
76561197986572155,2865
userid,playtime_forever
76561198073948991,12595
76561198117573992,28123
76561198163188935,262
76561197992640813,1943
76561198043925545,3500
76561198305255377,1793
76561198040029923,70
76561198247323260,2530
76561198263106234,3719
76561198024119782,3882
76561198008385624,375
76561198344063862,54
76561197978255479,9454
76561197993301308,2333
76561198010123130,717
76561198167966143,453
76561198343403218,5839
76561197995103450,3872
76561198021698620,4619
76561198261527165,942
userid,playtime_forever
76561198325946879,1442
76561198013854254,5798
76561198062686064,9736
76561197986067716,1390
76561198048933634,13084
76561198015433301,8314
76561198272730665,7061
76561197996379347,3266
76561198125415794,5866
76561198145004042,3718
76561198081660586,770
76561198796196577,17
76561198365863423,15232
76561198031754045,357
76561198080924277,684
76561198816619758,1049
76561198180670294,3235
76561198072664237,10762
76561198002729637,18617
76561198219064025,1920
userid,playtime_forever
76561197971124553,1551
76561198882366862,511
76561198079120879,4093
76561198403082220,29
76561198335558690,9758
76561198271447473,9125
76561198411325721,3126
76561197984654505,12175
76561198096957569,3960
76561198061462031,4124
76561197972318014,5436
76561198094232123,19248
76561197988267034,6139
76561198001210995,1378
76561198184517029,539
76561198013460955,8061
76561198338546247,35850
76561198115889752,10821
76561198806948145,383
76561198143373256,2910
userid,playtime_forever
76561198082672237,14903
76561198200142050,3909
76561198054826288,69249
76561198829596002,451
76561198077881213,1075
76561197968568482,956
76561197976865214,4015
76561197987059630,4774
76561198112810560,996
76561198127803128,67
76561198405766143,4874
76561198415388999,2600
76561198147255309,1472
76561198184898193,6372
76561198021489330,9594
76561198033684930,2579
76561197985062474,1014
76561197961196496,8480
76561198302992661,4070
76561198039943618,2806
userid,playtime_forever
76561198055470261,6447
76561198028379363,4666
76561198853912342,8020
76561198111449342,1123
76561198132571946,8613
76561198000964511,7367
76561198284561298,1915
76561198018510980,12412
76561198050714909,278
76561198065855716,1073
76561198872512078,441
76561197972464391,10522
76561198308644718,3270
76561198090089122,7530
76561198199458455,555
76561198039446842,3983
76561198308841226,3662
76561198081655695,14946
76561198015147679,21618
76561198011805733,374
userid,playtime_forever
76561197997829089,1467
76561197967683993,7604
76561198377655298,1532
76561198140303372,37
76561198128505985,1389
76561198825164592,9145
76561198062559532,925
76561198149645915,203
76561198216653221,1220
76561197992514162,1343
76561198154121618,8798
76561198361486862,723
76561198163042570,1080
76561197997938550,6403
76561197971662843,286
76561198005407898,289
76561198417755626,2587
76561198136474095,2944
76561198353820363,1146
76561198084275367,11680
userid,playtime_forever
