userid,playtime_forever
76561198203798275,10725
76561198066919076,2236
76561198804330368,573
76561198116459583,1805
76561198445389966,20294
76561198029848636,1889
76561198063464971,1739
76561198117263600,3791
76561198123101744,9835
76561198020467094,3411
76561198086088463,1915
userid,playtime_forever
76561198358861927,1935
76561198241193962,7391
76561198083661066,4057
76561198203411097,21107
76561198168052439,1633
76561198284334329,4041
76561198078997529,11795
76561198002728730,10075
76561197974229753,6365
76561198861287593,5071
76561198251986650,4557
76561198328733131,9285
76561198221244000,6349
76561198119040517,8804
76561198065096136,4690
76561198832362141,4650
76561198038257534,6935
76561198079708135,2772
76561198129271410,3367
76561198349616951,7195
userid,playtime_forever
76561198142672857,6066
76561198346833898,49
76561198242786850,8691
76561198010122972,2245
76561198129102991,7850
76561198197398746,4871
76561198175085101,29701
76561198136846811,3598
76561198116829953,10082
76561198068452112,6650
76561198015572417,2508
76561198089960078,1715
76561198373343813,8470
76561198275841011,6649
76561198280376103,4403
76561198087693869,1991
76561198093869062,118
76561198324638167,8245
76561198133129773,5386
76561198079110057,6210
userid,playtime_forever
76561198026590132,6293
76561198170118282,7951
76561198263715719,2236
76561198404614671,1831
76561198081441958,10353
76561198360706959,1631
76561198031195472,5584
76561198154619316,4421
76561198406334846,22
76561197973625414,18425
76561198077104361,6057
76561198859330146,10013
76561198129987138,5487
76561198451789530,6910
76561198135503551,5953
76561198135015084,3323
76561197970501068,10625
76561198109770942,6635
76561197960790860,4361
76561198813299357,6947
userid,playtime_forever
76561198017912501,1589
76561198170041555,4958
76561198268639637,8122
76561198384606106,6791
76561198015265847,7471
76561198052952947,8165
76561198263269835,118
76561197999638003,2607
76561198027997302,7014
76561198173354989,5327
76561198100170313,5452
76561198305771422,4732
76561198215792644,419
76561198039762099,6171
76561198378870232,7911
76561198048340315,6879
76561198169754387,11614
76561198060137412,89
76561198368804372,7234
76561197961132296,54
userid,playtime_forever
76561198077594109,36
76561198071096285,4323
76561198009015846,5065
76561198267953877,1071
76561198215919127,1357
76561198012655534,13340
76561198303744609,3083
76561197986308073,11263
76561198059287273,8519
76561198402097304,4483
76561198855311814,5639
76561198251755000,11737
