userid,playtime_last_two_weeks
76561198154894025,3084
76561198879854174,607
76561198165834989,132
76561198026758650,1668
76561198042021514,0
76561198212418191,4155
76561198127792430,0
76561198196311543,1444
76561198152017053,4505
76561198954183810,2782
76561198094536294,1277
76561198181428074,1729
76561198139473191,3876
76561198206561195,3003
76561198327159976,1551
76561198085930310,3912
76561198362184832,52
76561198238585446,294
76561198128059901,3337
76561198233242096,0
userid,playtime_last_two_weeks
76561198143965968,0
76561198163211567,0
76561198120810291,0
76561198313343739,300
76561198843563906,1008
76561198084091173,3602
76561198315453444,442
76561198102240363,0
76561198121188070,1898
76561198883007696,111
76561198042916676,0
76561198165582439,1726
76561198051867376,1931
76561197987988240,0
76561198042842327,273
76561198218474471,141
76561198287311221,233
76561198033706500,32
76561198307580816,1289
76561198143952966,1479
userid,playtime_last_two_weeks
76561197993300656,19
76561198072465285,0
76561198058991718,706
76561198075930530,218
76561198051464046,10046
76561198355085064,980
76561198436191521,790
76561198129049038,35
76561198038186657,0
76561198139558432,357
76561197971118056,0
76561198256342236,1346
76561198061054401,0
76561198314842782,3703
76561198192206577,0
76561198214850735,0
76561198452666590,1072
76561198012330764,648
76561198185105733,2145
76561198343947871,0
userid,playtime_last_two_weeks
76561198386212103,439
76561198414131436,0
76561198129566406,0
76561198352379357,239
76561198156488890,0
76561197968994015,0
76561198318248048,2094
76561198051782309,25
76561198085571974,1415
76561198001764628,0
76561198127633823,102
76561198105633185,2172
76561198224879320,0
76561198161615957,1
76561198089545789,3094
76561198119746740,3453
76561198046544239,0
76561198021027681,361
76561198189471282,0
76561198064043694,0
userid,playtime_last_two_weeks
76561198274663853,2685
76561198260275391,12
76561198181826958,115
76561198274707942,3681
76561198257360445,0
76561198114587894,5057
76561198156903582,893
76561198334362449,526
76561198047260322,0
76561198158685733,0
76561198108466761,2404
76561198195090342,2134
76561198148321621,0
76561198021488860,5201
76561198106118346,3033
76561198269463049,0
76561198200811717,0
76561198089111670,1682
76561198798616880,0
76561198857928958,24
userid,playtime_last_two_weeks
76561198798616880,0
76561198857928958,24
76561198884954498,1810
76561198315220617,2325
76561198112020555,293
76561197972312448,2549
76561198376494934,599
76561198211538263,11
76561198399725573,5082
76561198119270180,1
76561198799126701,682
76561198110201818,1912
76561198275589525,2562
76561198118987200,1794
76561198058106517,1816
76561198252648744,135
76561198368710108,321
76561198042107808,0
76561198215364957,0
76561198203334665,6
userid,playtime_last_two_weeks
76561197983638211,2638
76561198049345033,0
76561198247807654,350
76561198130048305,1600
76561198153341544,2393
76561198379235383,44
76561198066514935,3406
76561198884150410,4010
76561198168799904,0
76561198054432222,5
76561198166862073,3202
76561198193019003,2987
76561198332056386,2069
76561198013036550,0
76561198048028185,5291
76561198337875297,1006
76561198432661838,7911
76561198150815823,70
76561198128758722,0
76561198144906860,2956
userid,playtime_last_two_weeks
76561198866765182,2599
76561198799042151,0
76561198035935303,0
76561198148346577,0
76561198319980087,164
76561198072164094,11314
76561198074881537,0
76561198076579810,1868
76561198402046176,178
76561198218587173,1254
76561198104723209,2032
76561198233736852,574
76561198316319279,960
76561198354473465,1432
76561198383068441,727
76561198846355535,0
76561198193664879,0
76561197992602917,0
76561198210453812,832
76561198380489742,1553
userid,playtime_last_two_weeks
76561198386845601,2783
76561198055294482,3579
76561198072302150,437
76561198072910828,2444
76561198119619297,0
76561198067994799,357
76561198024967136,691
76561198134349667,176
76561198353142322,2262
76561198845297488,1402
76561198101666401,0
76561198129962523,47
76561198224392584,377
76561198095564007,1484
76561198101622190,28
76561198098023251,5282
76561198124528660,0
76561198135249064,813
76561198150987901,796
76561198396295551,2369
userid,playtime_last_two_weeks
76561198844835156,1164
76561198023662825,155
76561198069797661,0
76561198377542085,108
76561198219904233,486
76561198849582534,1930
76561198198332139,0
76561198140740709,0
76561198061201462,64
76561197996511692,0
76561198053191862,371
76561198840645201,74
76561198121539849,37
76561198073825013,12
76561198056282314,127
76561198353575029,718
76561198341856130,2202
76561198076294830,1535
76561198131550753,1340
76561198145958817,1891
userid,playtime_last_two_weeks
76561198378005200,2239
76561198451445337,0
76561198181500357,71
76561197979727889,0
76561197991135368,3960
76561198114164969,3950
76561198202221834,0
76561198065457453,531
76561198036812480,2801
76561198006992688,2690
76561198103429607,7416
76561198124039108,0
76561198121892767,200
76561198127663215,1126
76561198869883423,47
76561198399225870,1735
76561198353585201,2325
76561198387537344,101
76561198004094580,0
76561197986572155,0
userid,playtime_last_two_weeks
76561197960902049,0
76561198447558300,1545
76561198832870107,455
76561198253874084,472
76561198090196420,227
76561198100351333,0
76561198207339027,520
76561198086162595,2460
76561198274435968,0
76561198352832357,0
76561198953860291,222
76561198081125807,24
76561198118634497,0
76561198039180895,1552
76561198077376259,1271
76561198044888003,0
76561198407711310,307
76561198047802357,1711
76561198033416103,2218
