userid,playtime_forever
76561198042392114,7139
76561197997259014,74388
76561198033975337,77859
76561198233501268,578
76561198271664966,2623
76561198345304374,1901
76561198445652482,2915
76561198313985719,11604
76561198014295995,6535
76561198174785865,1561
76561198091532410,22413
76561198287276823,5484
76561198799229437,1476
76561197972252808,7693
76561198104799186,6228
76561197964369134,12411
76561198145994122,19987
76561198141075566,1544
76561198143478584,1094
76561198047909167,4281
userid,playtime_forever
76561198018719209,10073
76561198184943015,4739
76561198292282051,1326
76561198176837755,5563
76561198827679268,26
76561198124545400,13725
76561198229246888,13570
76561198272400768,9738
76561198305467616,6177
76561198034265905,291
76561198039009439,5108
76561198091661070,68498
76561198134244669,27824
76561198067117881,171526
76561198292931943,1604
76561198195727741,2340
76561198087621644,5004
76561198129670970,7057
76561198800080720,12993
76561198296710551,3078
userid,playtime_forever
76561198376927893,1013
76561198332193077,7498
76561198111234405,17428
76561198073385942,3447
76561198087647921,9957
76561198050392327,10027
76561198286337555,5876
76561197989452159,3845
76561198312996001,3976
76561198066129807,626
76561198397714942,510
76561198255037174,2106
76561198185837673,4025
76561198062419973,898
76561198153247757,21051
76561198132591654,12779
76561198051163686,39382
76561198193448322,15008
76561198029423877,872
76561198134305148,32637
userid,playtime_forever
76561198066426804,9309
76561198026939975,1180
76561198043916292,452
76561198222191228,26396
76561198373960846,7594
76561198135540363,2441
76561198239956334,5207
76561198013969036,38493
76561198081477892,4928
76561198202221834,9520
76561198200225122,752
76561198197621342,51360
76561198119505604,114446
76561198340514791,15801
76561198089890208,8675
76561198185903915,9217
76561198065456142,6580
76561198232616836,28093
76561198898411983,948
76561198306878267,11099
userid,playtime_forever
76561198803753193,1052
76561198268152532,12173
76561198108194209,19860
76561198164853903,1006
76561198284941440,33790
76561198123161527,3801
76561198023460599,162589
76561198353259491,7732
76561198355306933,2656
76561198056049724,84837
76561198066330771,11674
76561198093496383,2687
76561198818083659,2555
76561198149727229,9378
76561198134319796,608
76561198145510085,2895
76561198438280892,5333
76561198144783197,12902
76561198017828549,6625
76561198377795255,5024
userid,playtime_forever
76561198377795255,5024
76561198047089991,11681
76561198304055304,13954
76561198092211727,1214
76561198151515722,29720
76561198246524570,1862
76561198051355726,5293
76561198138282216,40870
76561198267940671,37803
76561198421874962,5111
76561198068722818,2172
76561198093578738,3177
76561198277696391,12568
76561198090622349,3036
76561198022301903,1716
76561198105801328,179734
76561198365307176,192
76561198160920763,11105
76561198054904291,17374
76561198104643735,8191
userid,playtime_forever
76561198354218162,8910
76561198203265082,8072
76561197975523869,9594
76561198192541830,8699
76561198088668896,22907
76561198087571971,4933
76561198187633819,45752
76561198109586087,3003
76561198091533948,21291
76561198045710515,9347
76561197989536535,4022
76561198119296381,542
76561198141975813,11701
76561198122002494,81342
76561198077764438,27414
76561197993758743,404
76561198087001887,15352
76561198071773416,1835
76561198206172836,4343
76561198149211533,727
userid,playtime_forever
76561198165142715,21756
76561197987133946,1083
76561198010789130,9900
76561198202186637,6279
76561197966386383,24550
76561198376234897,215
76561197962939980,265
76561198082150506,6643
76561198182568079,7299
76561198108130552,19134
76561198138148512,21605
76561198054266946,8465
76561198068691618,7407
76561198260865506,8768
76561198049797617,9507
76561198175148501,22305
76561198100314226,77112
76561198796352082,5702
76561198807368902,9718
76561198126252919,2181
userid,playtime_forever
76561197970715034,21581
76561198182501371,19786
76561198128806254,6560
76561198094717802,15
76561198063150335,5029
76561198047108462,15333
76561198216319923,5369
76561198075738409,12297
76561198125469729,9760
76561198859534314,1799
76561198134896880,3438
76561198110543165,64398
76561198070409993,19502
76561198115499938,3778
76561198157864144,8837
76561198142281120,46
76561198290486171,39252
76561198323199199,580
76561198110960065,1650
76561198295930019,2551
userid,playtime_forever
76561198035319376,9550
76561198196418618,10738
76561198000423356,5142
76561198103348817,8776
76561198220154235,15409
76561198155559874,30160
76561198231460872,39436
76561198379931869,12607
76561198236387444,5639
76561197995083972,20312
76561198166538222,34487
76561198119356092,10451
76561198099076587,14067
76561198115070438,9005
76561198002509506,3387
76561198135149783,5869
76561198155933670,18585
76561198150088041,27834
76561198284701656,37371
76561198350079568,7126
userid,playtime_forever
76561198170421833,14643
76561198356347715,41062
76561198138238391,124
76561198077089443,22961
76561198311466499,1934
76561198833110797,4204
76561198135015084,6583
76561198259737255,5864
76561198055101000,30075
76561198059737045,16076
76561198175849471,1452
76561198163027607,1118
76561197991487178,7603
76561198042766801,22377
76561198005094046,39043
76561198147686920,12120
76561197998301353,1653
76561198358089132,43467
76561197973798294,13747
76561198062969833,652
userid,playtime_forever
76561198084362462,1002
76561198251499858,412
76561198125745617,15149
76561198094664442,5206
76561198249945328,10938
76561198191852741,51414
76561198186570291,7910
76561198085381805,34805
76561198175439101,6167
76561198089964603,961
76561198136193630,6460
76561197967997466,1164
76561198186592538,9004
76561198062052216,7447
76561198025879493,9872
76561198306214745,19342
76561198065441934,10578
76561198097412954,9852
76561198028016215,26983
76561198282324332,13032
userid,playtime_forever
76561198096729730,51623
76561198285123455,3808
76561198125537318,16915
76561198116922176,36311
76561198123762223,10339
76561198082691937,55272
76561198311487238,478
76561198293269599,325
76561198031039145,9278
76561197983435272,3370
76561198115735715,7574
