userid,playtime_forever
76561198249785394,9053
76561198799082314,27461
76561198314821022,3573
76561198860473657,10005
76561198014961261,21304
76561198178555097,28472
76561198252970102,7451
76561198223642504,266807
76561198325479435,13949
76561198282570909,19559
76561198425300438,7625
76561198336437067,58461
76561198396442056,14720
76561198853817800,4068
76561198194777094,4989
76561198385391568,77087
76561198165117022,159368
76561198314253599,31347
76561198304527599,96299
76561198885073240,4651
userid,playtime_forever
76561198051725757,3055
76561198012070611,193587
76561198795897077,30186
76561198447398512,37498
76561198149156251,30714
76561198123504214,64389
76561198103037214,3946
76561198852951500,16631
76561198819422223,52653
76561198452154912,7672
76561198250473064,124535
76561198380660845,1437
76561198011559586,92410
76561198203665253,69167
76561198955747907,1072
76561198286305532,160321
76561198825116723,18456
76561198153334020,85243
76561198941325472,4641
76561198403715531,21591
userid,playtime_forever
76561198192231525,20101
76561198304583633,35786
76561198839054625,16516
76561198379124712,18025
76561197961359987,64490
76561198228637484,197602
76561198878833613,19041
76561198842056047,8042
76561198415331906,20851
76561198379641630,7173
76561198437428728,4778
76561198840434654,15950
76561198330226502,20637
76561198958017135,156
76561198271954943,29699
76561198045574209,73426
76561198284013947,81182
76561198898400734,3730
76561198289039938,2755
76561198191150078,45107
userid,playtime_forever
76561198064203776,88389
76561198334546022,2806
76561198042069646,3916
76561198240027626,47105
76561198930993568,13053
76561198835832581,14645
76561198169868470,78423
76561198045199866,210829
76561198957326713,685
76561198282584053,10216
76561198957054240,1666
76561198108768424,59167
76561198272656102,4974
76561198155909948,60875
76561198301395350,24468
76561198199944581,198041
76561198951227397,3453
76561198337086632,11922
76561198092003205,45861
76561198348106691,38404
userid,playtime_forever
76561198196246909,2458
76561198031609309,121907
76561198354207872,15125
76561198224956292,77544
76561198797897168,33697
76561198254676857,179310
76561198889040763,27118
76561198957923920,275
76561198838649347,7983
76561198300010023,40784
76561198837677255,3718
76561198255835810,30765
76561198932051194,2430
76561198951205653,2708
76561198907748581,336
76561198288049368,54799
76561198255703071,45734
76561198952721566,2718
76561198802354831,1519
76561198060165230,78875
userid,playtime_forever
76561198185198897,48340
76561198834406402,4021
76561198360064324,16272
76561198364312715,96124
76561198824641139,12285
76561198165153682,43136
76561198140732839,47833
76561198883701703,2363
76561198157628113,20816
76561198135935620,2485
76561198871512639,7873
76561198088886462,151921
76561198319089156,61650
76561198261424751,41217
76561198307944969,23685
76561198852997682,21352
76561198411623617,14860
76561198025960729,63593
76561197992273240,49884
76561198064270650,21781
userid,playtime_forever
76561198355823949,24930
76561198371897304,20742
76561198796629839,1892
76561198837244200,5825
76561198012625649,150932
76561198003656459,24463
76561198875255307,1789
76561198839787130,20507
76561198305037658,5291
76561198116368538,22294
76561198100983462,12556
76561198202823821,60196
76561198098883776,165581
76561198871208546,40805
76561198798409238,44359
76561198866753999,20759
76561198197213082,49387
76561198203933119,9997
76561198853930332,31443
76561198870196732,54434
userid,playtime_forever
76561198838769794,5017
76561198883655155,4638
76561198147519295,133177
76561198800660115,8538
76561198836261989,26993
76561198046046535,108011
76561198348576233,2455
76561198243184796,104233
76561198401167250,34645
76561198091197682,120706
76561198817300550,19727
76561198043810548,33899
76561198186385749,53184
76561198288557417,32795
76561198849544360,36405
76561198411880253,288
76561198802768409,47643
76561198237661794,14298
76561198068953887,221573
76561198881522059,7385
userid,playtime_forever
76561198083435711,56442
76561198281379240,24469
76561198815541884,11975
76561198306502508,25936
76561198156336773,15182
76561198333295091,48954
76561198451532673,12523
76561198836839167,67523
76561198951405512,4579
76561198329567790,7612
76561198301643964,30776
76561198396121600,1415
76561198405698360,18523
76561197987070151,1754
76561198417853189,16296
76561198146466377,233533
