userid,playtime_forever
76561198328716497,3376
76561198272400768,7233
76561198004116317,103
76561198098787984,487
76561198123370826,5067
76561198881517745,700
76561198077446949,24769
76561198030650504,330
76561198364708607,3169
76561198071641592,17821
76561198136588149,3718
76561198094169754,9183
76561198028841804,19489
76561198106398557,6080
76561198134749162,27435
76561198334432547,3132
76561198008813285,27880
76561198022817376,1865
76561197973010957,26974
76561198037345172,357
userid,playtime_forever
76561198124225907,585
76561198030546365,934
76561198041779189,28172
76561198027570313,15778
76561198123900524,2040
76561198116166867,2267
76561198125654714,19087
76561198039798968,19537
76561198454042781,1743
76561198119689777,839
76561198342922413,149
76561198058131450,12370
76561198121530868,5879
76561198182135335,1677
76561197962599660,2269
76561198044374991,13808
76561198110373415,7724
76561198264303491,25401
76561198261210417,8546
76561198220612289,26516
userid,playtime_forever
76561198115186067,36444
76561198074248311,3815
76561198046578009,7045
76561198309733932,29449
76561198087647921,15872
76561198064666353,31923
76561197995462265,15377
76561198154114639,11698
76561198144906860,254
76561198350473422,6997
76561197991842368,11856
76561198023637026,9933
76561198308503904,10905
76561198869301874,2519
76561198289671853,4497
76561197970469558,486
76561198439513284,933
76561198025541494,9610
76561198082233564,48224
76561197972131905,2972
userid,playtime_forever
76561198047627207,8236
76561197997334666,7046
76561198111766503,48371
76561198908021235,1408
76561198076474262,1277
76561198030905187,1912
76561198179798706,4562
76561198037593175,11280
76561198006831306,13036
76561198150744188,6605
76561197983535934,5015
76561198152970603,11380
76561198181980538,9956
76561198258183124,2651
76561198140400742,4723
76561197976794215,29977
76561198097758201,5989
76561198059828141,2409
76561198263941429,293
76561197979965387,2330
userid,playtime_forever
76561198113855823,5370
76561198127944326,9394
76561198143179731,1998
76561198046581075,2881
76561197962972373,9861
76561198018654643,19628
76561198207832349,2054
76561198139869565,8001
76561198283249457,2492
76561198415032464,9808
76561197999173086,3786
76561198017868005,5100
76561197993846222,31201
76561198877769574,20788
76561198055448351,5728
76561198103296514,16311
76561198826637303,1515
76561198193194010,3979
76561198293705273,3959
76561197963369336,380
userid,playtime_forever
76561197963369336,380
76561198047479993,11402
76561198044298368,29059
76561198052483524,11194
76561198127479190,9946
76561198815656186,45
76561198179186958,1537
76561198177745503,361
76561198021991009,15935
76561198360231144,5867
76561198271869734,2033
76561198080691965,4520
76561198294132687,20299
76561198091280436,48728
76561197978398778,5747
76561198045731985,5886
76561198093308606,964
76561197997077771,32734
76561197985213249,54589
76561198199339490,5914
userid,playtime_forever
76561198065247420,2380
76561198136219323,1044
76561198030642374,5884
76561198069285800,23638
76561198333053996,5579
76561198143626108,15607
76561198015289268,1135
76561198000922086,11953
76561197981272933,4059
76561198097622991,2391
76561197984855878,98
76561198028519404,6624
76561197983288401,9870
76561198112820901,13830
76561198081968922,1568
76561198022501714,13546
76561198153224248,8177
76561198355371499,44642
76561198054354560,579
76561198214946253,12879
userid,playtime_forever
76561198100789761,39391
76561198130013188,9127
76561198138640654,2627
76561198355673205,13260
