userid,playtime_last_two_weeks
76561198027966288,994
76561198167762776,0
76561198120258537,179
76561198126030165,490
76561198145934006,1094
76561198287311221,0
76561197970674314,147
76561198014306402,123
76561197975018345,1893
76561197979329431,1730
76561198021502130,566
76561198216047528,0
76561198203258785,0
76561198038141758,3048
76561198267757486,276
76561197972373401,62
76561198379235383,0
76561198019818647,122
76561198023686656,0
76561198087647921,0
userid,playtime_last_two_weeks
76561198163032471,1192
76561198799042151,42
76561197999446262,363
76561197960270613,1729
76561198032076046,0
76561198368908346,0
76561198095929936,1238
76561198204909273,2922
76561197983307687,2600
76561198356791130,1854
76561198186648967,0
76561198413302246,0
76561198064447856,0
76561198320087096,486
76561198110886862,0
76561197971778142,660
76561198021936340,0
76561198137457148,423
76561197972794895,0
76561197998611539,1780
userid,playtime_last_two_weeks
76561198314703553,391
76561198135875585,67
76561198837185562,441
76561198254865076,0
76561198025720172,14
76561198244861846,0
76561198122033307,4500
76561197987071533,549
76561198023154759,1013
76561198263269835,191
76561198167372734,384
76561198006721259,721
76561198417216710,1957
76561198042702719,1013
76561198046568872,1004
76561198919730786,2890
76561198009379253,122
76561198113988513,3
76561198006841390,390
76561198052037178,165
userid,playtime_last_two_weeks
76561198065800300,40
76561198192594538,0
76561198080938256,0
76561198034378797,0
76561198025643813,2161
76561198025599208,1850
76561198060956001,3
76561198305747913,0
76561198013379958,1
76561198080148395,0
76561197995145777,156
76561198148119372,1783
76561198090431035,0
76561198039774048,380
76561198245882572,1
76561198051473196,932
76561198229591108,0
76561198096710596,0
76561198333047233,70
76561198286786490,1123
userid,playtime_last_two_weeks
76561198036053075,0
76561197984737163,195
76561197973815251,2154
76561198044455910,0
76561198349589807,0
76561198137513034,63
76561197960482785,0
76561198228945292,0
76561198259316067,0
76561198331587079,327
76561198414610841,547
76561197970692638,1216
76561197964885252,0
76561198428666499,0
76561197997925177,0
76561198803782123,9
76561198018292278,168
76561197984644080,407
76561198202833047,0
76561198041339163,0
userid,playtime_last_two_weeks
76561198041339163,0
76561198108164409,0
76561198062317288,974
76561198193996157,0
76561198126910484,0
76561198391122819,0
76561198392306927,533
76561198118868679,4
76561198135015084,0
76561198128731301,0
76561198307573631,0
76561198040437363,0
76561198347890149,701
76561198115372464,0
76561198315948772,0
76561198009015846,0
76561198017897709,0
76561198251755000,0
76561198176912414,0
76561198106181993,0
userid,playtime_last_two_weeks
76561198035974180,1488
76561198436509129,326
76561198211302079,107
76561198255098659,1427
76561198053559812,524
76561198069396231,0
76561198047541304,2433
76561198084126145,0
76561198053990772,0
76561198441218522,0
76561198941389213,2237
76561198103423099,201
76561198083691456,0
76561198332247672,0
76561198098707957,0
76561198020999585,0
76561198067210226,0
76561198017252727,2490
76561198025885987,0
76561198228744996,0
userid,playtime_last_two_weeks
76561198008332774,0
76561198008100031,0
76561198300008730,0
76561198027175945,0
76561198324001725,64
76561198083760499,0
76561198118708925,0
76561198126388593,0
76561198023460599,2089
76561198154439914,0
76561197961666889,0
76561198864539497,548
76561198387914949,0
76561198066862399,0
76561198033959912,0
76561198445433263,0
76561198243389200,72
76561198252123424,0
76561198292560055,5
76561198849446635,3
userid,playtime_last_two_weeks
76561198066624848,0
76561198075383747,0
76561197980150152,0
76561198086316477,0
76561198116888704,1
76561198442118207,0
76561198245670304,138
76561198158631991,65
76561198112196464,0
76561197977484602,0
76561198318178358,1083
76561198003215546,0
76561198103966324,0
76561198017667644,119
76561198159586494,0
76561198010100951,0
76561198123309307,1
76561198016804891,1482
76561198043629455,0
76561198288294369,304
userid,playtime_last_two_weeks
76561198087935483,0
76561198238159816,0
76561198076691370,0
76561197963494274,0
76561198049976743,0
76561198074463115,0
76561198114587894,0
76561198175813935,0
76561198147732504,0
76561198198067518,0
76561198072167415,0
76561198262194525,4
76561198071880108,0
76561198360310485,204
76561198026153592,0
76561198079561891,0
76561198094795011,0
76561198031209270,45
76561198079241259,0
76561198043215510,0
userid,playtime_last_two_weeks
76561198229081544,0
76561198117501919,0
76561198182908614,0
76561198200698665,0
76561198133088232,0
76561198211271316,0
76561198095274406,11
76561198027239577,0
76561198284190961,0
76561198028736317,895
76561198086513938,0
76561198039523142,0
76561198085846569,0
76561198048124707,0
76561198320536115,0
76561198119596839,0
76561198064562454,0
76561197984855837,0
76561198079325325,0
76561198894673601,1003
userid,playtime_last_two_weeks
76561198855390044,0
76561198320703557,0
76561198254602666,0
76561198126388546,0
76561198311446547,0
76561198131863007,0
76561197991465949,41
76561198019501329,0
76561198079918071,0
76561198274757583,0
76561198072227500,0
76561198202266704,4
76561198065186476,0
76561198800577895,0
76561198133201611,205
76561198795408040,0
76561198032288654,0
76561198059038474,0
76561198035122194,0
76561198132420767,0
userid,playtime_last_two_weeks
76561198111140158,0
76561198161175574,0
76561198012418926,0
76561198162332449,0
76561198808846574,289
76561198014350940,0
76561197997624559,0
76561198149980098,0
76561198028988868,0
76561198318678573,0
76561198011185973,0
76561198049881880,0
76561198105917497,482
76561198016232375,0
76561198142011853,0
76561198072050265,0
76561198029074220,0
76561198256835877,0
76561198038709805,0
76561198014146141,1
userid,playtime_last_two_weeks
76561198086465592,0
76561198324134034,0
76561198062159579,0
76561198041631030,0
76561198262659118,6
76561198203004611,444
76561198217587871,0
76561198039316967,0
76561198303397396,0
76561198406124683,0
76561198001341834,0
76561198027876662,0
76561197968679602,0
76561198141121923,0
76561198069968813,0
76561198275578098,0
76561198034921476,0
76561198098271951,0
76561198282037369,0
76561198133990188,0
userid,playtime_last_two_weeks
76561198030015646,0
76561197981573793,0
76561198044531636,0
76561198070682954,0
76561197974335729,0
76561198071271414,0
76561198298688482,109
76561198349342447,0
76561198014907395,0
76561198026826500,7
76561198011452925,0
76561198075904087,0
76561198083003046,0
76561198079457020,0
76561197965149345,0
76561198416817362,0
76561197970385470,0
76561198092115351,0
76561198886746997,1209
76561198002555044,0
userid,playtime_last_two_weeks
76561198360273747,0
76561198192847538,0
76561198835221018,0
76561198039189954,0
76561198110201818,0
76561198117999544,0
76561198129744087,0
76561198098398348,0
76561198028478315,0
76561198004956294,0
76561197970371686,0
76561198097352541,393
76561198838951641,0
76561198079185936,0
76561198069083036,1
76561197970953899,116
76561198004538351,0
76561198035622367,0
76561198000813885,0
76561198352449109,0
userid,playtime_last_two_weeks
76561198215879860,2086
76561198061619400,0
76561198044901470,0
76561198051785472,637
76561198079106500,0
76561198873687980,0
76561198042266397,0
76561198414146466,0
76561197972498715,0
76561197992611390,0
76561198346667547,1307
76561198088847910,0
76561198840686758,0
76561198141726915,25
76561197998612346,0
76561198859171210,533
76561198368317110,0
76561198033170326,0
76561198439567512,0
76561198081939437,0
userid,playtime_last_two_weeks
76561198112762416,0
76561198082231892,0
76561198094696042,0
76561198345327574,0
76561198132588553,0
76561197994583258,0
76561198026400061,0
76561198845052437,57
76561198086447238,0
76561197997716796,0
76561198050230232,0
76561197970519927,0
76561198170842413,0
76561198061129732,0
76561198040497185,1982
76561198052347169,0
76561198148379151,0
76561198843475241,0
76561198068777596,0
76561198034090452,0
userid,playtime_last_two_weeks
76561198128976897,0
76561198119117126,0
76561198893077977,0
76561198027064450,0
76561198057258664,0
76561198129441794,5
76561198818700204,0
76561198116655011,0
76561198005353797,0
76561198035595905,0
76561198284220171,0
76561198446737577,34
76561198348208809,0
76561197970020941,0
76561198420591861,103
76561198007614414,0
76561198050392327,0
76561198120157127,0
76561198177143454,0
76561198197492809,0
userid,playtime_last_two_weeks
76561198005837867,0
76561198035392569,0
76561198202662255,0
76561198031157051,0
76561198008615723,0
76561198163919151,0
76561198062363150,0
76561198289181857,0
76561198121243456,0
76561198023786577,0
76561197992323201,22
76561198219381448,0
76561198046458614,0
76561197973205887,0
76561197999607039,0
76561198082656958,0
76561197974597355,0
76561198115470164,0
76561198182582266,0
76561198255970526,0
userid,playtime_last_two_weeks
76561198048379724,0
76561197996912854,0
76561198043677507,0
76561198012064833,0
76561197971133301,0
76561198139524418,0
76561198341180783,0
76561198258924072,0
76561198169845947,0
76561198093515740,0
76561198178502442,0
76561198356493345,10
76561198068173092,0
76561198036824929,0
76561198102486320,0
76561198042110946,0
76561197996860706,0
76561198052321327,0
76561197991822415,0
76561198272211274,0
userid,playtime_last_two_weeks
76561197970539887,0
76561198132141791,0
76561198119126807,0
76561198828216459,0
76561198204724323,0
76561198262342280,0
76561198133204068,0
76561198403073614,0
76561198877091653,0
76561198383816617,0
76561197975536967,0
76561197996625928,0
76561198054727788,0
76561198124360368,0
76561198003972972,40
76561198118827240,0
76561198866765734,0
76561198119126344,0
76561198054769952,0
76561198195420529,0
userid,playtime_last_two_weeks
76561198276858143,0
76561198384586000,0
76561198053440055,36
76561198066292318,0
76561198152144953,0
76561198449131558,125
76561198096895806,0
76561198049644505,0
76561198123572308,1
